2025-02-13 11:52:44,244 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2025-02-13 11:52:44,262 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2025-02-13 11:52:44,263 INFO  Logger.cs: 73 - Commit version 1.6.0-4-g7f85cfe
2025-02-13 11:52:44,263 INFO  Logger.cs: 74 - Build version 1.6.7995.38578
2025-02-13 11:52:44,265 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2025-02-13 11:52:44,265 INFO  SwAddin.cs: 197 - Setting up callbacks
2025-02-13 11:52:44,266 INFO  SwAddin.cs: 201 - Setting up command manager
2025-02-13 11:52:44,266 INFO  SwAddin.cs: 204 - Adding command manager
2025-02-13 11:52:44,268 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2025-02-13 11:52:44,269 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2025-02-13 11:52:44,269 INFO  SwAddin.cs: 210 - Adding event handlers
2025-02-13 11:52:44,272 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2025-02-13 11:55:53,113 INFO  SwAddin.cs: 294 - Assembly export called for file Assem2
2025-02-13 11:55:53,114 INFO  SwAddin.cs: 299 - Save is required
2025-02-13 11:55:53,116 INFO  SwAddin.cs: 313 - Saving assembly
2025-02-13 11:55:53,116 INFO  SwAddin.cs: 316 - Opening property manager
2025-02-13 11:55:53,126 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from Assem2
2025-02-13 11:55:53,131 INFO  ExportHelperExtension.cs: 1136 - Found 24 in Assem2
2025-02-13 11:55:53,132 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in Assem2
2025-02-13 11:55:53,132 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2025-02-13 11:55:53,133 INFO  ExportHelperExtension.cs: 1160 - 2 components to check
2025-02-13 11:55:53,134 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from mock tabletop rig v1.step-1
2025-02-13 11:55:53,135 INFO  ExportHelperExtension.cs: 1136 - Found 36 in mock tabletop rig v1.step-1
2025-02-13 11:55:53,135 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in mock tabletop rig v1.step-1
2025-02-13 11:55:53,136 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from trap-1
2025-02-13 11:55:53,136 INFO  ExportHelperExtension.cs: 1136 - Found 23 in trap-1
2025-02-13 11:55:53,137 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in trap-1
2025-02-13 11:55:53,137 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from Assem2
2025-02-13 11:55:53,138 INFO  ExportHelperExtension.cs: 1136 - Found 24 in Assem2
2025-02-13 11:55:53,138 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in Assem2
2025-02-13 11:55:53,138 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2025-02-13 11:55:53,139 INFO  ExportHelperExtension.cs: 1160 - 2 components to check
2025-02-13 11:55:53,139 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from mock tabletop rig v1.step-1
2025-02-13 11:55:53,140 INFO  ExportHelperExtension.cs: 1136 - Found 36 in mock tabletop rig v1.step-1
2025-02-13 11:55:53,140 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in mock tabletop rig v1.step-1
2025-02-13 11:55:53,141 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from trap-1
2025-02-13 11:55:53,141 INFO  ExportHelperExtension.cs: 1136 - Found 23 in trap-1
2025-02-13 11:55:53,141 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in trap-1
2025-02-13 11:55:54,212 INFO  SwAddin.cs: 339 - Loading config tree
2025-02-13 11:55:54,215 INFO  ExportPropertyManagerExtension.cs: 520 - Starting new configuration
2025-02-13 11:55:54,218 INFO  SwAddin.cs: 344 - Showing property manager
2025-02-13 11:56:22,448 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2025-02-13 11:57:03,822 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2025-02-13 11:57:03,917 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2025-02-13 11:57:03,981 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2025-02-13 11:57:14,030 INFO  ExportPropertyManager.cs: 422 - Configuration saved
2025-02-13 11:57:18,510 INFO  ExportHelperExtension.cs: 347 - Creating joint trap_Link
2025-02-13 11:57:18,515 INFO  ExportHelperExtension.cs: 1397 - Fixing components for base_link
2025-02-13 11:57:18,516 INFO  ExportHelperExtension.cs: 1402 - Fixing 24
2025-02-13 11:57:18,516 INFO  ExportHelperExtension.cs: 1409 - Component 24 is already fixed
2025-02-13 11:57:18,649 INFO  ExportHelperExtension.cs: 832 - R1: 0, 0
2025-02-13 11:57:18,650 INFO  ExportHelperExtension.cs: 841 - R2: 0, 0
2025-02-13 11:57:18,650 INFO  ExportHelperExtension.cs: 849 - L1: 0
2025-02-13 11:57:18,650 INFO  ExportHelperExtension.cs: 857 - L2: 0
2025-02-13 11:57:19,830 WARN  ExportHelperExtension.cs: 351 - Creating joint from parent base_link to child trap_Link failed
2025-02-13 11:57:19,957 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from Assem2
2025-02-13 11:57:19,960 INFO  ExportHelperExtension.cs: 1136 - Found 28 in Assem2
2025-02-13 11:57:19,961 INFO  ExportHelperExtension.cs: 1145 - Found 2 features of type [CoordSys] in Assem2
2025-02-13 11:57:19,961 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2025-02-13 11:57:19,962 INFO  ExportHelperExtension.cs: 1160 - 2 components to check
2025-02-13 11:57:19,962 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from mock tabletop rig v1.step-1
2025-02-13 11:57:19,962 INFO  ExportHelperExtension.cs: 1136 - Found 36 in mock tabletop rig v1.step-1
2025-02-13 11:57:19,963 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in mock tabletop rig v1.step-1
2025-02-13 11:57:19,963 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from trap-1
2025-02-13 11:57:19,963 INFO  ExportHelperExtension.cs: 1136 - Found 23 in trap-1
2025-02-13 11:57:19,964 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in trap-1
2025-02-13 11:57:19,964 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from Assem2
2025-02-13 11:57:19,965 INFO  ExportHelperExtension.cs: 1136 - Found 28 in Assem2
2025-02-13 11:57:19,965 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in Assem2
2025-02-13 11:57:19,965 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2025-02-13 11:57:19,965 INFO  ExportHelperExtension.cs: 1160 - 2 components to check
